polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
50130,798,13,46,65,40,61,191,287,33,4,30,5,23,11
50131,1005,41,63,92,39,99,194,356,25,18,39,12,27,11
50132,567,12,39,41,28,47,113,210,17,7,20,16,17,11
50133,1130,7,74,82,61,111,293,378,25,10,50,16,23,11
50134,99,1,2,11,2,7,37,32,2,1,2,1,1,11
50135,1316,10,91,103,47,131,332,405,30,20,85,18,44,11
50137,765,14,54,79,14,88,166,249,33,4,33,12,19,11
50145,279,4,9,16,12,23,94,100,6,0,3,5,7,11
50149,211,3,8,6,20,22,41,75,10,2,8,7,9,11
50154,205,4,11,18,2,14,61,72,10,3,5,1,4,11
50155,386,18,22,36,20,47,103,99,9,3,12,4,13,11
50156,168,5,18,10,9,4,46,47,14,0,1,4,10,11
50161,204,4,11,15,15,22,44,60,10,1,7,8,7,11
50162,175,9,23,10,7,7,53,41,9,1,6,3,6,11
50164,694,7,41,49,20,71,171,216,43,6,35,12,23,11
50165,846,26,51,63,16,80,181,275,75,7,32,12,28,11
50166,238,6,21,16,10,30,67,55,15,2,2,4,10,11
50167,336,9,16,39,20,32,77,105,16,0,11,6,5,11
50185,941,15,47,70,26,86,185,404,26,9,36,11,26,11
50186,543,14,31,47,31,38,128,156,28,14,32,7,17,11
50187,68,1,3,2,3,13,14,25,1,4,1,1,0,11
50188,1187,13,81,70,35,134,308,368,25,15,65,33,40,11
50189,230,3,17,17,11,35,31,80,2,3,14,8,9,11
50190,71,3,1,6,1,3,13,19,6,0,1,0,18,11
50191,73,7,1,9,2,3,13,26,3,0,2,0,7,11
50192,454,18,61,93,14,8,11,190,18,0,8,3,30,11
51477,1080,17,68,68,60,112,220,372,24,10,68,26,35,11
51478,1161,18,66,83,60,141,202,433,14,16,77,27,24,11
51479,867,5,52,57,41,88,188,313,21,13,40,23,26,11
51480,784,16,75,73,51,77,117,249,14,16,57,18,21,11
51481,847,9,71,67,63,100,183,221,9,17,57,20,30,11
51482,1256,21,57,70,66,150,205,476,22,32,85,27,45,11
51483,1124,11,95,104,42,112,263,329,12,15,88,17,36,11
51484,1050,15,87,76,54,144,239,305,10,14,62,18,26,11
51485,1206,15,85,111,69,172,264,327,15,17,75,29,27,11
51486,930,11,94,79,59,105,212,250,5,24,42,18,31,11
51487,905,13,73,65,56,107,180,266,9,21,57,26,32,11
51488,1010,8,64,75,54,153,207,286,16,22,68,30,27,11
51489,848,18,59,58,68,91,173,259,20,10,54,15,23,11
51490,898,9,64,71,68,85,173,287,19,9,57,20,36,11
51491,782,10,65,70,54,99,135,196,8,25,68,25,27,11
51492,995,11,85,64,76,122,181,305,12,21,76,18,24,11
51493,988,19,69,74,96,95,200,309,9,21,45,22,29,11
51494,973,11,63,76,91,108,208,278,11,18,55,21,33,11
51495,155,8,44,9,11,4,34,20,10,0,3,2,10,11
51496,780,9,61,52,43,113,134,251,3,11,52,22,29,11
51497,1028,5,66,63,58,113,277,317,8,12,62,13,34,11
51498,955,7,71,67,70,129,227,244,20,19,51,22,28,11
51499,921,6,62,78,73,142,177,245,12,17,61,23,25,11
51500,1114,12,82,106,61,130,233,356,7,18,48,25,36,11
51501,1022,11,71,80,69,141,231,290,14,15,53,18,29,11
51502,1248,13,95,101,92,151,269,341,13,16,79,43,35,11
51503,1274,3,94,91,65,176,285,383,10,35,73,29,30,11
51504,824,10,51,54,52,68,168,316,4,27,44,10,20,11
51505,854,7,66,51,54,107,164,291,5,20,46,22,21,11
51506,1089,8,57,76,95,117,218,369,24,24,52,18,31,11
51507,1147,10,97,78,58,165,255,346,15,18,55,22,28,11
51508,947,15,82,70,79,92,209,272,18,15,45,21,29,11
51509,918,11,77,86,80,83,166,277,14,19,48,23,34,11
51510,1018,16,78,85,71,113,201,292,14,21,67,20,40,11
51511,1039,15,84,70,94,140,195,284,21,25,47,34,30,11
51512,1108,18,101,99,63,132,265,287,10,19,58,23,33,11
51513,1042,12,86,92,106,134,212,286,6,25,33,18,32,11
51514,1037,16,68,64,120,121,189,290,17,25,64,13,50,11
51515,1023,16,83,60,82,109,231,295,6,42,55,15,29,11
51516,901,19,63,69,114,93,144,267,10,19,48,29,26,11
51517,1083,12,89,74,82,123,244,312,11,37,53,23,23,11
51518,1159,16,101,72,100,129,257,315,7,42,70,20,30,11
51519,1015,11,82,75,51,119,218,339,11,18,48,12,31,11
51520,914,19,62,59,45,94,217,304,9,10,61,13,21,11
51521,868,12,56,70,57,95,187,258,11,18,55,15,34,11
51522,953,12,73,69,42,93,241,302,13,14,59,18,17,11
51523,991,8,103,95,57,138,178,273,13,19,67,16,24,11
51524,768,12,65,57,47,84,147,236,11,11,62,17,19,11
51525,438,2,24,31,15,55,96,161,4,10,26,8,6,11
51526,973,10,58,66,62,117,208,307,6,14,75,22,28,11
51527,1036,7,79,69,73,124,211,349,9,11,56,18,30,11
51528,988,12,89,76,78,112,187,273,14,31,77,16,23,11
51529,741,11,64,54,38,90,118,254,2,20,57,15,18,11
51530,1300,20,73,63,52,188,274,430,5,38,104,15,38,11
51531,755,11,65,68,53,88,159,219,3,20,39,12,18,11
51532,1099,12,81,102,81,144,213,307,9,29,68,32,21,11
51533,1109,14,79,83,98,130,245,303,19,27,56,23,32,11
51534,1103,14,67,58,58,149,228,347,21,28,73,27,33,11
51535,882,9,64,60,101,85,188,252,17,23,50,12,21,11
51536,1130,15,91,82,92,153,202,330,20,10,79,33,23,11
51537,228,3,13,9,18,37,33,71,1,10,12,4,17,11
51538,1107,25,72,97,90,145,161,315,14,41,89,23,35,11
51539,861,20,78,60,112,99,125,218,8,23,65,26,27,11
51540,1115,14,58,66,111,176,205,311,12,33,68,30,31,11
51541,949,10,51,56,122,137,130,302,9,32,64,13,23,11
51542,833,17,57,56,71,121,121,270,12,18,51,13,26,11
51543,906,15,51,75,70,132,149,273,12,31,54,15,29,11
51544,973,16,79,89,40,83,194,329,19,17,54,32,21,11
51545,1443,13,91,77,37,190,337,458,3,26,142,28,41,11
51546,566,7,50,32,22,69,132,178,10,2,32,21,11,11
51547,1059,11,67,99,39,82,179,433,23,22,42,20,42,11
51575,28,0,5,2,3,1,5,9,1,0,0,0,2,11
51576,27,1,1,3,2,2,5,9,1,2,0,1,0,11
51578,47,1,4,6,1,5,5,19,0,0,3,2,1,11
51579,137,1,7,12,5,11,32,53,10,0,2,1,3,11
51580,33,0,0,4,1,2,10,11,3,0,1,0,1,11
51581,367,21,15,53,17,17,52,100,16,2,7,7,60,11
51582,64,1,7,6,4,6,9,18,6,0,3,1,3,11
51583,15,0,1,4,0,1,2,3,0,1,1,0,2,11
51584,83,0,5,9,6,1,19,27,3,0,7,0,6,11
51585,10,0,0,2,0,2,3,2,0,0,1,0,0,11
51586,22,0,0,3,2,1,7,9,0,0,0,0,0,11
51669,1191,23,81,57,51,166,277,339,6,35,101,21,34,11
51671,44,2,4,3,1,2,10,20,1,0,0,0,1,11
51672,43,1,5,1,5,3,9,12,5,0,2,0,0,11
51673,864,5,58,73,27,94,194,294,13,18,52,19,17,11
50125,291,1,11,38,12,21,55,116,16,1,8,3,9,12
